               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.065735,             0.02566,             0.10272,             0.91773,            0.021781,            0.029967,            0.016841,            0.039466,            0.045775,            0.090279,            0.070066,            0.003326,            0.003326
                   1,            0.046835,             0.01671,            0.078909,             0.94631,            0.075159,            0.072175,            0.039784,            0.031161,            0.035564,            0.075356,                0.04,           0.0065934,           0.0065934
                   2,            0.043387,            0.013753,            0.063634,             0.95644,            0.081893,            0.084756,            0.049086,            0.030564,            0.031674,            0.068851,           0.0098681,           0.0097948,           0.0097948
                   3,            0.038178,            0.012952,             0.05822,             0.95864,             0.09025,             0.09669,            0.063017,            0.027376,            0.030811,            0.064994,            0.009703,            0.009703,            0.009703
                   4,            0.034742,            0.012781,            0.055178,              0.9666,            0.094204,             0.11615,            0.075942,            0.024843,             0.03014,            0.062504,            0.009703,            0.009703,            0.009703
                   5,            0.032699,            0.012378,            0.050941,             0.96847,            0.099353,             0.12221,            0.079733,            0.024777,            0.029404,            0.058656,            0.009604,            0.009604,            0.009604
                   6,            0.031575,            0.012211,            0.048409,             0.97823,              0.0985,             0.13939,            0.093706,            0.023738,            0.028075,             0.05652,            0.009505,            0.009505,            0.009505
                   7,            0.030079,            0.011671,            0.046303,             0.97334,             0.11017,             0.15009,             0.09934,            0.023912,             0.02648,            0.054668,            0.009406,            0.009406,            0.009406
                   8,            0.029243,            0.011391,            0.044166,             0.83548,             0.14876,             0.16418,             0.11309,            0.021515,            0.025447,            0.052634,            0.009307,            0.009307,            0.009307
                   9,              0.0289,            0.011397,            0.042611,             0.80786,             0.17329,             0.18264,             0.12488,            0.021438,            0.024972,            0.051213,            0.009208,            0.009208,            0.009208
                  10,            0.028265,            0.011324,            0.041438,             0.63798,             0.22639,             0.20233,             0.13968,             0.02137,            0.025448,            0.050594,            0.009109,            0.009109,            0.009109
                  11,            0.028119,            0.011205,            0.038616,             0.68515,             0.24113,             0.21198,              0.1479,            0.020666,            0.025916,            0.048924,             0.00901,             0.00901,             0.00901
